DATE,T10Y2Y
11/1/00,-0.158095238
12/1/00,-0.1115
1/1/01,0.400952381
2/1/01,0.442105263
3/1/01,0.543181818
4/1/01,0.907
5/1/01,1.131363636
6/1/01,1.204285714
7/1/01,1.197619048
8/1/01,1.213913043
9/1/01,1.612941176
10/1/01,1.840909091
11/1/01,1.869
12/1/01,1.9805
1/1/02,2.007619048
2/1/02,1.896315789
3/1/02,1.7265
4/1/02,1.788181818
5/1/02,1.900454545
6/1/02,1.9335
7/1/02,2.096363636
8/1/02,2.123636364
9/1/02,1.8655
10/1/02,2.029090909
11/1/02,2.125263158
12/1/02,2.196190476
1/1/03,2.305238095
2/1/03,2.274736842
3/1/03,2.233333333
4/1/03,2.336190476
5/1/03,2.153809524
6/1/03,2.107142857
7/1/03,2.501363636
8/1/03,2.580952381
9/1/03,2.568095238
10/1/03,2.542727273
11/1/03,2.373333333
12/1/03,2.360454545
1/1/04,2.3895
2/1/04,2.344210526
3/1/04,2.248695652
4/1/04,2.276666667
5/1/04,2.182
6/1/04,1.97047619
7/1/04,1.85952381
8/1/04,1.773181818
9/1/04,1.60047619
10/1/04,1.5125
11/1/04,1.342
12/1/04,1.219090909
1/1/05,0.999
2/1/05,0.780526316
3/1/05,0.770909091
4/1/05,0.687142857
5/1/05,0.50047619
6/1/05,0.357727273
7/1/05,0.3065
8/1/05,0.21826087
9/1/05,0.252857143
10/1/05,0.1925
11/1/05,0.1185
12/1/05,0.062857143
1/1/06,0.0205
2/1/06,-0.099473684
3/1/06,-0.01
4/1/06,0.101578947
5/1/06,0.141818182
6/1/06,-0.015454545
7/1/06,-0.031
8/1/06,-0.026956522
9/1/06,-0.05
10/1/06,-0.066666667
11/1/06,-0.145238095
12/1/06,-0.109
1/1/07,-0.116666667
2/1/07,-0.126315789
3/1/07,-0.009090909
4/1/07,0.027619048
5/1/07,-0.02
6/1/07,0.122380952
7/1/07,0.185238095
8/1/07,0.36173913
9/1/07,0.51
10/1/07,0.56
11/1/07,0.812
12/1/07,0.9805
1/1/08,1.268571429
2/1/08,1.7645
3/1/08,1.893
4/1/08,1.627727273
5/1/08,1.434285714
6/1/08,1.325714286
7/1/08,1.434545455
8/1/08,1.465238095
9/1/08,1.61
10/1/08,2.201818182
11/1/08,2.313888889
12/1/08,1.595454545
1/1/09,1.7105
2/1/09,1.894736842
3/1/09,1.888181818
4/1/09,2
5/1/09,2.3635
6/1/09,2.537727273
7/1/09,2.543181818
8/1/09,2.471904762
9/1/09,2.445714286
10/1/09,2.438571429
11/1/09,2.599473684
12/1/09,2.715454545
1/1/10,2.804210526
2/1/10,2.834210526
3/1/10,2.768695652
4/1/10,2.786363636
5/1/10,2.5895
6/1/10,2.479545455
7/1/10,2.394761905
8/1/10,2.178181818
9/1/10,2.167619048
10/1/10,2.164
11/1/10,2.309
12/1/10,2.672727273
1/1/11,2.7795
2/1/11,2.803684211
3/1/11,2.716956522
4/1/11,2.7205
5/1/11,2.613333333
6/1/11,2.591818182
7/1/11,2.5965
8/1/11,2.072608696
9/1/11,1.763809524
10/1/11,1.8715
11/1/11,1.76
12/1/11,1.720952381
1/1/12,1.726
2/1/12,1.6895
3/1/12,1.828181818
4/1/12,1.760952381
5/1/12,1.518181818
6/1/12,1.33047619
7/1/12,1.278571429
8/1/12,1.409565217
9/1/12,1.467894737
10/1/12,1.469047619
11/1/12,1.386
12/1/12,1.462
1/1/13,1.64952381
2/1/13,1.716842105
3/1/13,1.7015
4/1/13,1.526818182
5/1/13,1.677727273
6/1/13,1.9665
7/1/13,2.241363636
8/1/13,2.380909091
9/1/13,2.4055
10/1/13,2.280454545
11/1/13,2.414736842
12/1/13,2.561904762
1/1/14,2.464285714
2/1/14,2.382631579
3/1/14,2.324285714
4/1/14,2.288095238
5/1/14,2.17
6/1/14,2.146190476
7/1/14,2.035909091
8/1/14,1.947619048
9/1/14,1.967619048
10/1/14,1.858636364
11/1/14,1.798333333
12/1/14,1.571818182
1/1/15,1.33
2/1/15,1.356315789
3/1/15,1.402272727
4/1/15,1.395
5/1/15,1.5885
6/1/15,1.675
7/1/15,1.656818182
8/1/15,1.46952381
9/1/15,1.45952381
10/1/15,1.425238095
11/1/15,1.378421053
12/1/15,1.26
1/1/16,1.185789474
2/1/16,1.046
3/1/16,1.014090909
4/1/16,1.037142857
5/1/16,0.99
6/1/16,0.912727273
7/1/16,0.8315
8/1/16,0.819130435
9/1/16,0.85952381
10/1/16,0.9215
11/1/16,1.1625
12/1/16,1.295238095
1/1/17,1.226
2/1/17,1.217894737
3/1/17,1.168695652
4/1/17,1.056315789
5/1/17,1.001818182
6/1/17,0.844545455
7/1/17,0.9455
8/1/17,0.873913043
9/1/17,0.8175
10/1/17,0.81047619
11/1/17,0.656666667
12/1/17,0.5585
1/1/18,0.551904762
2/1/18,0.683684211
3/1/18,0.566666667
4/1/18,0.484761905
5/1/18,0.465909091
6/1/18,0.379047619
7/1/18,0.282380952
8/1/18,0.253478261
9/1/18,0.236315789
10/1/18,0.291363636
11/1/18,0.258
12/1/18,0.156315789
1/1/19,0.17047619
2/1/19,0.172105263
3/1/19,0.161428571
4/1/19,0.187619048
5/1/19,0.188636364
6/1/19,0.26
7/1/19,0.224090909
8/1/19,0.055
9/1/19,0.0515
10/1/19,0.155454545
11/1/19,0.199473684
12/1/19,0.24952381
1/1/20,0.238571429
2/1/20,0.173157895
3/1/20,0.421818182
4/1/20,0.432857143
5/1/20,0.5035
6/1/20,0.543636364
7/1/20,0.475454545
8/1/20,0.51047619
9/1/20,0.544761905
10/1/20,0.637619048